number_id,gu_id,MY_id,the_number_of_car_accident
395,20,16,64
396,21,16,133
397,22,16,83
398,23,16,43
399,24,16,83
400,25,16,70
401,1,17,73
402,2,17,111
403,3,17,139
404,4,17,99
405,5,17,143
406,6,17,95
407,7,17,83
408,8,17,347
409,9,17,91
410,10,17,214
411,11,17,157
412,12,17,82
413,13,17,102
414,14,17,90
415,15,17,105
416,16,17,43
417,17,17,83
418,18,17,81
419,19,17,73
420,20,17,88
421,21,17,132
422,22,17,98
423,23,17,48
424,24,17,96
425,25,17,76
426,1,18,88
427,2,18,117
428,3,18,134
429,4,18,122
430,5,18,155
431,6,18,102
432,7,18,93
433,8,18,315
434,9,18,111
435,10,18,221
436,11,18,185
437,12,18,67
438,13,18,99
439,14,18,121
440,15,18,122
441,16,18,65
442,17,18,87
443,18,18,65
444,19,18,77
445,20,18,72
446,21,18,153
447,22,18,108
448,23,18,40
449,24,18,93
450,25,18,92
451,1,19,82
452,2,19,104
453,3,19,133
454,4,19,119
455,5,19,139
456,6,19,108
457,7,19,100
458,8,19,313
459,9,19,105
460,10,19,210
461,11,19,177
462,12,19,78
463,13,19,109
464,14,19,111
465,15,19,120
466,16,19,63
467,17,19,82
468,18,19,71
469,19,19,80
470,20,19,69
471,21,19,147
472,22,19,102
473,23,19,49
474,24,19,75
475,25,19,74
476,1,20,95
477,2,20,103
478,3,20,121
479,4,20,136
480,5,20,149
481,6,20,101
482,7,20,73
483,8,20,344
484,9,20,114
485,10,20,215
486,11,20,183
487,12,20,79
488,13,20,113
489,14,20,89
490,15,20,104
491,16,20,69
492,17,20,68
493,18,20,61
494,19,20,86
495,20,20,70
496,21,20,133
497,22,20,99
498,23,20,51
499,24,20,79
500,25,20,67
501,1,21,83
502,2,21,120
503,3,21,128
504,4,21,111
505,5,21,172
506,6,21,105
507,7,21,100
508,8,21,324
509,9,21,100
510,10,21,250
511,11,21,191
512,12,21,61
513,13,21,101
514,14,21,109
515,15,21,110
516,16,21,66
517,17,21,91
518,18,21,75
519,19,21,95
520,20,21,84
521,21,21,153
522,22,21,81
523,23,21,54
524,24,21,92
525,25,21,93
526,1,22,81
527,2,22,115
528,3,22,153
529,4,22,114
530,5,22,178
531,6,22,121
532,7,22,84
533,8,22,315
534,9,22,109
535,10,22,221
536,11,22,208
537,12,22,76
538,13,22,120
539,14,22,123
540,15,22,125
541,16,22,54
542,17,22,95
543,18,22,82
544,19,22,101
545,20,22,84
546,21,22,130
547,22,22,124
548,23,22,45
549,24,22,98
550,25,22,69
551,1,23,96
552,2,23,122
553,3,23,135
554,4,23,123
555,5,23,173
556,6,23,105
557,7,23,73
558,8,23,341
559,9,23,92
560,10,23,235
561,11,23,197
562,12,23,84
563,13,23,94
564,14,23,122
565,15,23,148
566,16,23,61
567,17,23,89
568,18,23,81
569,19,23,99
570,20,23,81
571,21,23,157
572,22,23,116
573,23,23,47
574,24,23,94
575,25,23,70
576,1,24,80
577,2,24,104
578,3,24,126
579,4,24,131
580,5,24,182
581,6,24,100
582,7,24,76
583,8,24,358
584,9,24,113
585,10,24,235
586,11,24,194
587,12,24,98
588,13,24,110
589,14,24,105
590,15,24,117
591,16,24,67
592,17,24,81
593,18,24,76
594,19,24,86
595,20,24,82
596,21,24,160
597,22,24,127
598,23,24,37
599,24,24,100
600,25,24,87
601,1,25,100
602,2,25,104
603,3,25,119
604,4,25,135
605,5,25,179
606,6,25,106
607,7,25,66
608,8,25,363
609,9,25,100
610,10,25,249
611,11,25,185
612,12,25,79
613,13,25,105
614,14,25,113
615,15,25,141
616,16,25,73
617,17,25,86
618,18,25,80
619,19,25,82
620,20,25,86
621,21,25,143
622,22,25,131
623,23,25,48
624,24,25,94
625,25,25,91
