number_id,gu_name,MY_id,type_id,PC_id,the_number_of_registered_vehicle
161,서대문구,2021-12,2,2,77
162,서대문구,2021-12,2,3,942
163,서대문구,2021-12,3,1,2
164,서대문구,2021-12,3,2,331
165,서대문구,2021-12,3,3,415
166,서대문구,2021-12,4,1,850
167,서대문구,2021-12,4,2,138
168,서대문구,2021-12,4,3,6
169,서초구,2021-12,1,1,207
170,서초구,2021-12,1,2,151
171,서초구,2021-12,1,3,378
172,서초구,2021-12,2,1,952
173,서초구,2021-12,2,2,156
174,서초구,2021-12,2,3,537
175,서초구,2021-12,3,1,3
176,서초구,2021-12,3,2,374
177,서초구,2021-12,3,3,721
178,서초구,2021-12,4,1,223
179,서초구,2021-12,4,2,177
180,서초구,2021-12,4,3,10
181,성동구,2021-12,1,1,120
182,성동구,2021-12,1,2,82
183,성동구,2021-12,1,3,640
184,성동구,2021-12,2,1,411
185,성동구,2021-12,2,2,93
186,성동구,2021-12,2,3,171
187,성동구,2021-12,3,1,2
188,성동구,2021-12,3,2,224
189,성동구,2021-12,3,3,880
190,성동구,2021-12,4,1,147
191,성동구,2021-12,4,2,161
192,성동구,2021-12,4,3,8
193,성북구,2021-12,1,1,95
194,성북구,2021-12,1,2,103
195,성북구,2021-12,1,3,283
196,성북구,2021-12,2,1,190
197,성북구,2021-12,2,2,105
198,성북구,2021-12,2,3,568
199,성북구,2021-12,3,1,3
200,성북구,2021-12,3,2,306
201,성북구,2021-12,3,3,1
202,성북구,2021-12,4,1,4
203,성북구,2021-12,4,2,476
204,성북구,2021-12,4,3,149
205,송파구,2021-12,1,1,125
206,송파구,2021-12,1,2,202
207,송파구,2021-12,1,3,318
208,송파구,2021-12,2,1,531
209,송파구,2021-12,2,2,208
210,송파구,2021-12,2,3,974
211,송파구,2021-12,3,1,4
212,송파구,2021-12,3,2,670
213,송파구,2021-12,3,3,1
214,송파구,2021-12,4,1,6
215,송파구,2021-12,4,2,397
216,송파구,2021-12,4,3,160
217,양천구,2021-12,1,1,119
218,양천구,2021-12,1,2,127
219,양천구,2021-12,1,3,140
220,양천구,2021-12,2,1,538
221,양천구,2021-12,2,2,131
222,양천구,2021-12,2,3,797
223,양천구,2021-12,3,1,3
224,양천구,2021-12,3,2,555
225,양천구,2021-12,3,3,768
226,양천구,2021-12,4,1,381
227,양천구,2021-12,4,2,136
228,양천구,2021-12,4,3,11
229,영등포구,2021-12,1,1,132
230,영등포구,2021-12,1,2,117
231,영등포구,2021-12,1,3,96
232,영등포구,2021-12,2,1,707
233,영등포구,2021-12,2,2,120
234,영등포구,2021-12,2,3,935
235,영등포구,2021-12,3,1,4
236,영등포구,2021-12,3,2,303
237,영등포구,2021-12,3,3,171
238,영등포구,2021-12,4,1,531
239,영등포구,2021-12,4,2,177
240,영등포구,2021-12,4,3,15
241,용산구,2021-12,1,1,135
242,용산구,2021-12,1,2,69
243,용산구,2021-12,1,3,749
244,용산구,2021-12,2,1,1
245,용산구,2021-12,2,2,70
246,용산구,2021-12,2,3,885
247,용산구,2021-12,3,1,2
248,용산구,2021-12,3,2,80
249,용산구,2021-12,3,3,60
250,용산구,2021-12,4,1,195
251,용산구,2021-12,4,2,137
252,용산구,2021-12,4,3,5
253,은평구,2021-12,1,1,100
254,은평구,2021-12,1,2,111
255,은평구,2021-12,1,3,829
256,은평구,2021-12,2,1,997
257,은평구,2021-12,2,2,115
258,은평구,2021-12,2,3,926
259,은평구,2021-12,3,1,3
260,은평구,2021-12,3,2,631
261,은평구,2021-12,3,3,745
262,은평구,2021-12,4,1,422
263,은평구,2021-12,4,2,149
264,은평구,2021-12,4,3,10
265,종로구,2021-12,1,1,1
266,종로구,2021-12,1,2,736
267,종로구,2021-12,1,3,38
268,종로구,2021-12,2,1,743
269,종로구,2021-12,2,2,41
270,종로구,2021-12,2,3,475
271,종로구,2021-12,3,1,666
272,종로구,2021-12,3,2,1
273,종로구,2021-12,3,3,654
274,종로구,2021-12,4,1,3
275,종로구,2021-12,4,2,576
276,종로구,2021-12,4,3,371
277,중구,2021-12,1,1,280
278,중구,2021-12,1,2,47
279,중구,2021-12,1,3,592
280,중구,2021-12,2,1,16
281,중구,2021-12,2,2,50
282,중구,2021-12,2,3,888
283,중구,2021-12,3,1,1
284,중구,2021-12,3,2,942
285,중구,2021-12,3,3,266
286,중구,2021-12,4,1,969
287,중구,2021-12,4,2,184
288,중구,2021-12,4,3,5
289,중랑구,2021-12,1,1,79
290,중랑구,2021-12,1,2,89
291,중랑구,2021-12,1,3,13
292,중랑구,2021-12,2,1,784
293,중랑구,2021-12,2,2,94
294,중랑구,2021-12,2,3,876
295,중랑구,2021-12,3,1,3
296,중랑구,2021-12,3,2,591
297,중랑구,2021-12,3,3,553
298,중랑구,2021-12,4,1,178
299,중랑구,2021-12,4,2,127
300,중랑구,2021-12,4,3,11
301,강남구,2022-01,1,1,151
302,강남구,2022-01,1,2,200
303,강남구,2022-01,1,3,545
304,강남구,2022-01,2,1,340
305,강남구,2022-01,2,2,219
306,강남구,2022-01,2,3,36
307,강남구,2022-01,3,1,4
308,강남구,2022-01,3,2,338
309,강남구,2022-01,3,3,609
310,강남구,2022-01,4,1,1
311,강남구,2022-01,4,2,179
312,강남구,2022-01,4,3,13
313,강동구,2022-01,1,1,103
314,강동구,2022-01,1,2,126
315,강동구,2022-01,1,3,883
316,강동구,2022-01,2,1,182
317,강동구,2022-01,2,2,132
318,강동구,2022-01,2,3,168
319,강동구,2022-01,3,1,3
320,강동구,2022-01,3,2,701
321,강동구,2022-01,3,3,674
322,강동구,2022-01,4,1,417
323,강동구,2022-01,4,2,155
324,강동구,2022-01,4,3,12
325,강북구,2022-01,1,1,104
326,강북구,2022-01,1,2,60
327,강북구,2022-01,1,3,967
328,강북구,2022-01,2,1,134
329,강북구,2022-01,2,2,63
330,강북구,2022-01,2,3,205
331,강북구,2022-01,3,1,2
332,강북구,2022-01,3,2,551
333,강북구,2022-01,3,3,719
334,강북구,2022-01,4,1,333
335,강북구,2022-01,4,2,130
336,강북구,2022-01,4,3,7
337,강서구,2022-01,1,1,127
338,강서구,2022-01,1,2,164
339,강서구,2022-01,1,3,621
340,강서구,2022-01,2,1,431
341,강서구,2022-01,2,2,177
342,강서구,2022-01,2,3,179
343,강서구,2022-01,3,1,4
344,강서구,2022-01,3,2,939
345,강서구,2022-01,3,3,1
346,강서구,2022-01,4,1,6
347,강서구,2022-01,4,2,384
348,강서구,2022-01,4,3,157
349,관악구,2022-01,1,1,94
350,관악구,2022-01,1,2,99
351,관악구,2022-01,1,3,161
352,관악구,2022-01,2,1,41
353,관악구,2022-01,2,2,102
354,관악구,2022-01,2,3,296
355,관악구,2022-01,3,1,3
356,관악구,2022-01,3,2,597
357,관악구,2022-01,3,3,310
358,관악구,2022-01,4,1,957
359,관악구,2022-01,4,2,152
360,관악구,2022-01,4,3,9
361,광진구,2022-01,1,1,87
362,광진구,2022-01,1,2,79
363,광진구,2022-01,1,3,867
364,광진구,2022-01,2,1,499
365,광진구,2022-01,2,2,83
366,광진구,2022-01,2,3,453
367,광진구,2022-01,3,1,2
368,광진구,2022-01,3,2,509
369,광진구,2022-01,3,3,386
370,광진구,2022-01,4,1,939
371,광진구,2022-01,4,2,163
372,광진구,2022-01,4,3,10
373,구로구,2022-01,1,1,100
374,구로구,2022-01,1,2,113
375,구로구,2022-01,1,3,58
376,구로구,2022-01,2,1,933
377,구로구,2022-01,2,2,123
378,구로구,2022-01,2,3,91
379,구로구,2022-01,3,1,4
380,구로구,2022-01,3,2,701
381,구로구,2022-01,3,3,631
382,구로구,2022-01,4,1,389
383,구로구,2022-01,4,2,127
384,구로구,2022-01,4,3,14
385,금천구,2022-01,1,1,51
386,금천구,2022-01,1,2,69
387,금천구,2022-01,1,3,694
388,금천구,2022-01,2,1,545
389,금천구,2022-01,2,2,73
390,금천구,2022-01,2,3,290
391,금천구,2022-01,3,1,3
392,금천구,2022-01,3,2,121
393,금천구,2022-01,3,3,481
394,금천구,2022-01,4,1,631
395,금천구,2022-01,4,2,74
396,금천구,2022-01,4,3,10
397,노원구,2022-01,1,1,87
398,노원구,2022-01,1,2,128
399,노원구,2022-01,1,3,881
400,노원구,2022-01,2,1,672
401,노원구,2022-01,2,2,134
402,노원구,2022-01,2,3,640
403,노원구,2022-01,3,1,3
404,노원구,2022-01,3,2,903
405,노원구,2022-01,3,3,856
406,노원구,2022-01,4,1,812
407,노원구,2022-01,4,2,169
408,노원구,2022-01,4,3,10
409,도봉구,2022-01,1,1,92
410,도봉구,2022-01,1,2,76
411,도봉구,2022-01,1,3,735
412,도봉구,2022-01,2,1,494
413,도봉구,2022-01,2,2,81
414,도봉구,2022-01,2,3,321
415,도봉구,2022-01,3,1,2
416,도봉구,2022-01,3,2,774
417,도봉구,2022-01,3,3,575
418,도봉구,2022-01,4,1,401
419,도봉구,2022-01,4,2,131
420,도봉구,2022-01,4,3,8
421,동대문구,2022-01,1,1,108
422,동대문구,2022-01,1,2,80
423,동대문구,2022-01,1,3,263
424,동대문구,2022-01,2,1,489
425,동대문구,2022-01,2,2,82
426,동대문구,2022-01,2,3,860
427,동대문구,2022-01,3,1,3
428,동대문구,2022-01,3,2,32
429,동대문구,2022-01,3,3,134
430,동대문구,2022-01,4,1,221
431,동대문구,2022-01,4,2,143
432,동대문구,2022-01,4,3,9
433,동작구,2022-01,1,1,112
434,동작구,2022-01,1,2,93
435,동작구,2022-01,1,3,630
436,동작구,2022-01,2,1,177
437,동작구,2022-01,2,2,94
438,동작구,2022-01,2,3,919
439,동작구,2022-01,3,1,2
440,동작구,2022-01,3,2,624
441,동작구,2022-01,3,3,140
442,동작구,2022-01,4,1,817
443,동작구,2022-01,4,2,147
444,동작구,2022-01,4,3,6
445,마포구,2022-01,1,1,102
446,마포구,2022-01,1,2,101
